day_of_year,hist_solar_irradiation_global_doy_mean,hist_solar_irradiation_global_doy_median,hist_solar_irradiation_global_doy_std,hist_solar_irradiation_global_doy_count,hist_wind_speed_global_doy_mean,hist_wind_speed_global_doy_median,hist_wind_speed_global_doy_std,hist_wind_speed_global_doy_count
179,3.9333990299823633,3.9125555555555556,1.4168445791752569,126,2.8999416262779834,2.979166666666667,1.098480559952989,126
180,3.728594135802469,3.7875972222222223,1.3420382368932742,126,2.7744734613212874,2.77125,1.0483196409683373,126
181,4.4268424444444445,4.578166666666667,1.3537942379225205,125,2.8483331555230786,2.9458333333333333,1.0584871497470791,125
182,4.212578872668289,4.305611111111111,1.5123163169456073,137,2.9077070839876296,3.0,1.098428915035541,137
183,4.126629194630873,4.175472222222222,1.608014813942907,149,2.904605251446397,3.075,1.0497942030777414,149
184,4.018760135135135,4.090013888888889,1.6320017471072081,148,2.9369040962047674,3.0708333333333333,1.146367575321795,148
185,4.072342288011695,4.228041666666666,1.5256250614911775,152,2.8789202866501293,2.947916666666667,1.2054304890426395,152
186,4.387576158940397,4.489472222222222,1.4364956356958003,151,2.8882945586422406,3.025,1.1352160666253857,151
187,3.8577008830022077,3.830611111111111,1.3763660238017204,151,2.932597517229575,3.1125000000000003,1.1296721298119445,151
188,4.029997962962963,4.084777777777777,1.264634059737859,150,2.8371557657318527,2.9423913043478263,1.0723815637513874,150
189,4.416689293598234,4.489444444444445,1.3805135544859326,151,2.8345712800210525,2.908333333333333,1.0831339808591094,151
190,4.476958241353937,4.696611111111111,1.4609299936007918,151,3.1405968682595518,3.25,1.124550469079359,151
191,4.5443503703703705,4.521888888888888,1.5566300595997524,150,3.000579343505888,3.0625,1.026781451815801,150
192,4.565702962962963,4.8245000000000005,1.6878859517486826,150,2.872769484862963,2.9604166666666663,1.072371325534612,150
193,4.394654893303899,4.499888888888889,1.5742658870378012,151,2.8802275888602553,3.0500000000000003,1.0955668441233335,151
194,4.0475150966183575,3.980277777777778,1.542580659108856,138,2.9605921306866487,2.9854166666666666,1.141240758034664,138
195,4.453089020122484,4.68775,1.4146432246104477,127,2.999773730692987,3.0608695652173914,1.1660931982528264,127
196,4.57693416447944,4.807277777777778,1.2924231301501796,127,2.9395337440527447,2.95,1.1055467586783843,127
197,4.3629250440917104,4.475527777777778,1.4506800379935476,126,2.998528460937881,3.08125,1.1522878544819375,126
198,4.317936197916667,4.424138888888889,1.43234860871772,128,3.103774286209049,3.243478260869565,1.1158760102598104,128
199,4.226752387152778,4.223111111111111,1.3633527652727613,128,2.7256048327804443,2.8958333333333335,1.0867640107510408,128
200,3.989169681309216,3.937722222222222,1.3900683968372949,129,2.679934845874141,2.7875,1.047460643284082,129
201,4.641739664082687,5.024805555555555,1.5251900999435546,129,2.8194778947979597,2.970833333333333,1.1011017887693737,129
202,4.449291666666666,4.5777222222222225,1.4773551571274444,130,2.873810859430425,3.072916666666667,1.0529685541637346,130
203,4.256306186868686,4.306902777777777,1.363882621504863,132,3.0768033110909383,3.20625,1.1542905053745092,132
204,4.395566498316498,4.325555555555555,1.4428730705820019,132,3.1509258439997465,3.3374999999999995,1.1932824088030458,132
205,4.721882365319866,4.796236111111112,1.346620082337865,132,3.1831392945548083,3.302083333333333,1.124965082383117,132
206,4.55628851010101,4.791236111111111,1.3115079496925925,132,3.1307676165071245,3.2249999999999996,1.1131511390599356,132
207,4.3730867003367,4.460444444444445,1.3555333310221465,132,3.118039745900418,3.3687499999999995,1.1192786237657666,132
208,4.585691899915182,4.695388888888889,1.351149266870012,131,3.0709897340738697,3.2458333333333336,1.1172512520635465,131
209,4.25970695504665,4.365916666666666,1.3408529012284796,131,3.2330791984512266,3.4250000000000003,1.1615482454895163,131
210,4.653258481764207,4.8301944444444445,1.3149912710266267,131,3.2038712059451138,3.275,1.1435171968110684,131
211,4.660159511784512,4.852902777777778,1.4895108934784074,132,3.276832483647614,3.3875,1.195043774489937,132
212,4.283966119528619,4.309861111111111,1.3092580571824894,132,3.1594158605448133,3.3,1.1358269425612446,132
213,4.65391300154321,4.728375,1.3829792825678542,144,3.0294227313045248,3.122916666666667,1.1607001407896387,144
214,5.104721153846154,5.410458333333333,1.5145416014700548,156,2.966760082568699,3.0979166666666664,1.052570591565864,156
215,4.908269892473118,5.173,1.7322789354236752,155,2.690052564003661,2.7916666666666665,1.0632852284411047,155
216,5.427229522792023,5.895402777777778,1.4757558099578578,156,2.58069864935434,2.552083333333333,1.1517708689996613,156
217,5.048029032258065,5.2332777777777775,1.513464240978808,155,2.70862306100189,2.8166666666666664,1.119327474751103,155
218,4.845435304659499,5.136055555555555,1.4915186722217846,155,2.953408727013432,3.016666666666667,1.1305800176495455,155
219,4.605348566308244,4.76125,1.4851842461160671,155,3.0956172768325647,3.1791666666666667,1.1160557423501973,155
220,4.702241756272401,4.833666666666667,1.5757317308049834,155,2.9978503570378416,3.141666666666667,1.1523480621924942,155
221,4.8990597312999276,5.07961111111111,1.4750746469096425,153,3.0684565240699984,3.216666666666667,1.155113215363624,153
222,5.313034090909091,5.5676805555555555,1.5093033967727199,154,3.0814429523202818,3.158333333333333,1.1799342135252813,154
223,5.478770021645022,5.775486111111111,1.5637497669740954,154,3.1062476829275245,3.122916666666667,1.205296035646799,154
224,5.3631284946236555,5.630416666666667,1.4777948710791835,155,3.234682082293583,3.35,1.2235220561485658,155
225,5.196542840375587,5.439430555555555,1.4758468470401325,142,3.17124848895746,3.325,1.2146039277528766,142
226,4.898084615384615,5.074541666666667,1.5043803063974406,130,3.21844506942333,3.4791666666666665,1.2226082682958708,130
227,5.1928480769230765,5.385166666666667,1.55235046278364,130,3.164036974747333,3.2333333333333334,1.1656069199951007,130
228,5.19343952991453,5.415125,1.4019401632660455,130,3.2149758310251624,3.4208333333333334,1.2087182053754812,130
229,4.95888486005089,5.181111111111111,1.3415012994128024,131,3.229620547360516,3.404166666666667,1.170004425367153,131
230,4.778660305343512,4.947333333333334,1.634798239634925,131,3.2645395429708146,3.533333333333333,1.2444029280909394,131
231,4.87924957591179,5.037444444444445,1.4423553811760836,131,3.1782091240986032,3.345833333333333,1.2050818316667156,131
232,4.805865776081425,4.901222222222223,1.4970172342196726,131,3.083611848655825,3.317391304347826,1.176021741435809,131
233,4.946976251060221,5.028416666666667,1.4821730908535156,131,3.1304080765456472,3.341666666666667,1.1846005117231766,131
234,5.043427905004241,5.289472222222223,1.5698817178859812,131,3.3153265600359565,3.725,1.2607562205792224,131
235,5.176955341880342,5.4442361111111115,1.564247386433464,130,3.289167502787068,3.49375,1.2273274479833394,130
236,5.13611047008547,5.313736111111112,1.4172685113240049,130,3.290161737856078,3.475,1.1846978187163817,130
237,5.053260897435897,5.272069444444445,1.5875397803098141,130,3.2581345203233076,3.5374999999999996,1.1489065631485467,130
238,5.285328632478633,5.454472222222222,1.4997773223602007,130,3.1469526615754235,3.20625,1.0947209750474185,130
239,5.336463888888889,5.502291666666667,1.4004789594632434,130,3.02564652014652,3.1957427536231884,0.995526294231994,130
240,5.2597844017094015,5.535777777777778,1.476669993495003,130,3.1187418414918415,3.314583333333333,1.00893932790616,130
241,5.167959302325581,5.214222222222222,1.4708821010583129,129,3.3298000224693856,3.65,1.1507457035908188,129
242,5.13246511627907,5.424111111111111,1.4968905544650448,129,3.2796301260645815,3.420833333333333,1.172835126526399,129
243,5.422789102564103,5.679597222222222,1.6305281218930414,130,3.207012860328078,3.3791666666666664,1.1097191770647932,130
244,5.307322023809523,5.335388888888889,1.5254667940092725,140,3.1161985014413505,3.159510869565217,1.1476305026871574,140
245,5.5954137426900585,5.902222222222222,1.5341201687571464,152,3.0400464977180803,3.04375,1.2187271290574617,152
