day_of_year,hist_solar_irradiation_global_doy_mean,hist_solar_irradiation_global_doy_median,hist_solar_irradiation_global_doy_std,hist_solar_irradiation_global_doy_count,hist_wind_speed_global_doy_mean,hist_wind_speed_global_doy_median,hist_wind_speed_global_doy_std,hist_wind_speed_global_doy_count
149,4.4118708651399485,4.495972222222222,1.422462841211098,131,2.7212082294035986,2.7375000000000003,1.0814454214151907,131
150,4.148761238337575,4.275194444444445,1.2727863746775414,131,2.690122508980058,2.6791666666666667,1.0764053099863304,131
151,4.1106202991453,4.178180555555556,1.355493382618087,130,2.6541848350924435,2.75,1.06783987719281,130
152,4.816841428571429,4.909555555555556,1.4655650740547486,175,2.4468360064711,2.4375,1.0510914522664092,175
153,4.775929266895762,4.843569444444444,1.5393835659930717,194,2.39713017596295,2.3745833333333337,1.0356618942363456,194
154,5.156331923293853,5.314583333333333,1.4330569146342225,197,2.455208748440813,2.3541666666666665,1.0560233383505544,197
155,4.673061618725325,4.933138888888888,1.632088848917723,197,2.404385566860677,2.342857142857143,1.0409610240285543,197
156,4.566225056689342,4.775569444444444,1.429921271574443,196,2.3766504815306946,2.4124999999999996,0.9555586838346904,196
157,4.344997615039282,4.519638888888888,1.2203186559472017,198,2.612315250492903,2.675,1.028353903454329,198
158,4.281454685746352,4.476277777777778,1.304401325850585,198,2.663832394575681,2.6916666666666664,0.9774668148685158,198
159,4.3258044332211,4.460111111111111,1.3846833754172725,198,2.861619539830699,2.84375,1.110416109762062,198
160,4.831014245014245,5.082944444444444,1.416390213649854,195,2.9061367503196407,2.923809523809524,1.0759374987687624,195
161,4.936753561253561,4.987972222222222,1.635252123629428,195,2.762975564085145,2.8304347826086955,1.0214478070513682,195
162,4.959021990740741,4.956833333333334,1.5951025887200514,192,2.742901667911958,2.8645833333333335,1.0555913706343742,192
163,4.965233448474381,5.145861111111111,1.7361321947614183,193,2.7137617170606187,2.7857142857142856,1.075704709459359,193
164,4.351337274774775,4.439055555555555,1.6018957540242234,148,2.8126106081684727,2.8444746376811594,1.00404231008643,148
165,4.306727111111111,4.532611111111111,1.3858659198342975,125,2.85566139657444,2.9250000000000003,1.118921149704746,125
166,4.111119555555556,4.179222222222222,1.2395081489915938,125,2.9970088828733075,3.1125000000000003,1.1626507310854748,125
167,4.211480444444445,4.286194444444444,1.4155624708956376,125,2.878476689748086,3.1,1.051746626674191,125
168,3.800457892416226,3.767888888888889,1.3637001494967502,126,2.7005972680776535,2.873484848484849,1.0655546979961454,126
169,3.878198222222222,3.914833333333333,1.407072146822366,125,2.691455243048332,2.8,1.067137312513435,125
170,4.369175333333334,4.533,1.343745667981385,125,2.705206984126984,2.7875,0.9919981878094511,125
171,4.389768444444445,4.6355,1.2997429606756739,125,2.8757410690758514,2.875,1.164061018891461,125
172,4.0962731111111115,4.14975,1.4918784005395398,125,2.9375582684287487,3.083333333333333,1.1290815619472203,125
173,4.214534888888889,4.320666666666667,1.418587617571576,125,2.8764407449356555,2.920833333333333,1.1313070499020719,125
174,3.8650564373897707,3.680138888888889,1.419321463000031,126,2.8189889001612602,2.759601449275362,1.07180712564534,126
175,3.9263031111111113,4.096666666666667,1.342864186813434,125,2.8265589774578332,2.9958333333333336,1.025218962975651,125
176,3.9574037777777775,4.045972222222222,1.2742928995960354,125,2.9800044431527555,3.1791666666666667,1.1285979518122806,125
177,4.191203555555556,4.336388888888889,1.5132825058914474,125,2.9505936559753496,2.9782608695652173,1.0950256693253553,125
178,3.9380692239858903,3.9314166666666663,1.3920319600850042,126,2.912326089073881,2.9371323529411764,1.1161584757322236,126
179,3.9333990299823633,3.9125555555555556,1.4168445791752569,126,2.8999416262779834,2.979166666666667,1.098480559952989,126
180,3.728594135802469,3.7875972222222223,1.3420382368932742,126,2.7744734613212874,2.77125,1.0483196409683373,126
181,4.4268424444444445,4.578166666666667,1.3537942379225205,125,2.8483331555230786,2.9458333333333333,1.0584871497470791,125
182,4.572114684860299,4.677055555555556,1.6851167481696145,171,2.7735616352035115,2.775,1.1257743213809437,171
183,4.569962673611111,4.567055555555555,1.8035409129054318,192,2.7480572912717687,2.810416666666667,1.0721176265799686,192
184,4.508668671248568,4.568597222222222,1.8009661577742142,194,2.8710508373038035,2.9520833333333334,1.126821473097558,194
185,4.451809785673999,4.599361111111112,1.6192197016945298,197,2.732925956617746,2.658333333333333,1.2115447215723687,197
186,4.561561538461539,4.717055555555556,1.4110571383332606,195,2.7019945062988544,2.7416666666666667,1.1348564810963473,195
187,3.767560657596372,3.7106250000000003,1.3016667024029078,196,2.7500789748465295,2.8062500000000004,1.120054149904643,196
188,3.853905728267127,3.918583333333333,1.2692275672570228,193,2.755506783959701,2.858333333333333,1.0811058788531902,193
189,4.337410256410257,4.418138888888889,1.3807031063511712,195,2.8695845769891606,2.904166666666667,1.0961091715542166,195
190,4.730205555555556,4.8885,1.4798454593178947,195,3.121202351098672,3.25,1.0808831588963295,195
191,4.863411024305555,4.839958333333334,1.6037354723841248,192,2.9275539298657685,2.9270833333333335,1.0073904726940992,192
192,4.856153723094823,4.990666666666667,1.7803839283081806,191,2.7798771438112437,2.891666666666667,1.0898410387493853,191
193,4.722094386271088,4.815916666666666,1.6352905898681238,191,2.7672160041756557,2.783333333333333,1.1293869384159638,191
194,4.113362237237237,4.086013888888889,1.5284395981006167,148,2.9156164719208197,2.9583333333333335,1.136676126522596,148
195,4.453089020122484,4.68775,1.4146432246104477,127,2.999773730692987,3.0608695652173914,1.1660931982528264,127
196,4.57693416447944,4.807277777777778,1.2924231301501796,127,2.9395337440527447,2.95,1.1055467586783843,127
197,4.3629250440917104,4.475527777777778,1.4506800379935476,126,2.998528460937881,3.08125,1.1522878544819375,126
198,4.317936197916667,4.424138888888889,1.43234860871772,128,3.103774286209049,3.243478260869565,1.1158760102598104,128
199,4.226752387152778,4.223111111111111,1.3633527652727613,128,2.7256048327804443,2.8958333333333335,1.0867640107510408,128
200,3.989169681309216,3.937722222222222,1.3900683968372949,129,2.679934845874141,2.7875,1.047460643284082,129
201,4.641739664082687,5.024805555555555,1.5251900999435546,129,2.8194778947979597,2.970833333333333,1.1011017887693737,129
202,4.449291666666666,4.5777222222222225,1.4773551571274444,130,2.873810859430425,3.072916666666667,1.0529685541637346,130
203,4.256306186868686,4.306902777777777,1.363882621504863,132,3.0768033110909383,3.20625,1.1542905053745092,132
204,4.395566498316498,4.325555555555555,1.4428730705820019,132,3.1509258439997465,3.3374999999999995,1.1932824088030458,132
205,4.721882365319866,4.796236111111112,1.346620082337865,132,3.1831392945548083,3.302083333333333,1.124965082383117,132
206,4.55628851010101,4.791236111111111,1.3115079496925925,132,3.1307676165071245,3.2249999999999996,1.1131511390599356,132
207,4.3730867003367,4.460444444444445,1.3555333310221465,132,3.118039745900418,3.3687499999999995,1.1192786237657666,132
208,4.585691899915182,4.695388888888889,1.351149266870012,131,3.0709897340738697,3.2458333333333336,1.1172512520635465,131
209,4.25970695504665,4.365916666666666,1.3408529012284796,131,3.2330791984512266,3.4250000000000003,1.1615482454895163,131
210,4.653258481764207,4.8301944444444445,1.3149912710266267,131,3.2038712059451138,3.275,1.1435171968110684,131
211,4.660159511784512,4.852902777777778,1.4895108934784074,132,3.276832483647614,3.3875,1.195043774489937,132
212,4.283966119528619,4.309861111111111,1.3092580571824894,132,3.1594158605448133,3.3,1.1358269425612446,132
213,4.935069756554307,4.990916666666667,1.529494619296468,178,2.892694461064637,2.98625,1.1817917037696954,178
214,5.319635,5.621583333333334,1.622865870707156,200,2.799253191126189,2.8979166666666663,1.0736421103621185,200
215,5.159173300165838,5.620916666666666,1.784421979739312,201,2.643213866434321,2.6791666666666667,1.0814042015068877,201
216,5.466758568269762,5.882055555555556,1.4373369381333356,201,2.526011728933342,2.45,1.1455617973296683,201
217,5.107746212121212,5.296763888888888,1.4320186602834166,198,2.601249698263428,2.5895833333333336,1.1019995063279766,198
218,4.665399253731343,4.765,1.3949597792625017,201,2.759022536161466,2.7916666666666665,1.1373981025045776,201
219,4.363993686868687,4.398305555555556,1.4538902302614316,198,2.9327030312940567,3.0547619047619046,1.1443650633331037,198
220,4.743274444444444,4.849375,1.5530780727555633,200,2.885763938824371,3.0019927536231887,1.1434876135027108,200
221,4.879575719120136,4.9824722222222215,1.4700658651680907,197,3.04074689792029,3.15,1.1091008959032678,197
222,5.43138056965595,5.6578333333333335,1.5633609518707314,197,2.964127116293305,2.966666666666667,1.1461173726159966,197
223,5.68984410430839,5.978972222222222,1.5914037898754931,196,2.932555036036624,2.9875,1.2382566503822166,196
224,5.485949688208617,5.648194444444444,1.5277721962913011,196,3.061187679334862,3.075,1.2825826501661004,196
225,5.286642361111111,5.504555555555555,1.4890847768527662,152,3.1015432806910663,3.2291666666666665,1.2227784031669557,152
